Date,Close
 1/1/10,1.0
 2/1/10,0.97934671
 3/1/10,0.9699708699
 4/1/10,0.9308677775
 5/1/10,0.94375157
 6/1/10,0.009256146629
 7/1/10,0.9328619339
 8/1/10,0.09402348036
 9/1/10,0.9495930158
 10/1/10,0.9457192845
 11/1/10,0.9392189958
 12/1/10,0.9416714776
 13/1/10,0.9359952934
 14/1/10,0.9569218159
 15/1/10,0.9596915999
 16/1/10,0.9734391595
 17/1/10,0.9846659292
 18/1/10,0.9846659292
 19/1/10,0.09786217625
 20/1/10,0.9601367044
 21/1/10,0.9705085209
 22/1/10,0.9836721563
 23/1/10,0.9874930039
 24/1/10,0.9915209794
 25/1/10,0.9978758379
 26/1/10,0.9993213258
 27/1/10,0.9824910869
 28/1/10,0.989187486
 29/1/10,0.9758012983
 30/1/10,0.9680979054
 31/1/10,0.9959191408
 1/2/10,1.013507379
 2/2/10,1.012614967
 3/2/10,1.010277067
 4/2/10,1.010277067
 5/2/10,1.010277067
 6/2/10,1.015591879
 7/2/10,1.023570708
 8/2/10,0.1013952484
 9/2/10,1.018174366
 10/2/10,0.9507013701
 11/2/10,0.9671614231
 12/2/10,0.9588895303
 13/2/10,0.009336133232
 14/2/10,0.9073785988
 15/2/10,0.09523121196
 16/2/10,0.9401664955
 17/2/10,0.9577635481
 18/2/10,0.9724740319
 19/2/10,0.9750256706
 20/2/10,0.9419777624
 21/2/10,0.953854561
 22/2/10,0.9536298053
 23/2/10,0.09415502858
 24/2/10,0.9632017557
 25/2/10,0.9772666176
 26/2/10,1.00547126
 27/2/10,1.000916651
 28/2/10,0.01003303028
 1/3/10,1.005773138
 2/3/10,0.9961196582
 3/3/10,0.9802016632
 4/3/10,0.9993940409
 5/3/10,1.009300921
 6/3/10,1.004735295
 7/3/10,1.019954784
 8/3/10,1.025809451
 9/3/10,1.027852084
 10/3/10,1.027852084
 11/3/10,1.032437542
 12/3/10,1.039475482
 13/3/10,1.034299489
 14/3/10,1.043276498
 15/3/10,1.056047913
 16/3/10,1.077972615
 17/3/10,0.1074321436
 18/3/10,1.073314442
 19/3/10,1.074466866
 20/3/10,1.0887036
 21/3/10,1.083280817
 22/3/10,1.081271236
 23/3/10,1.094595726
 24/3/10,1.081200725
 25/3/10,1.084768171
 26/3/10,1.078748243
 27/3/10,1.078748243
 28/3/10,0.1090098408
 29/3/10,1.10655185
 30/3/10,0.111491629
 31/3/10,1.107951065
 1/4/10,1.107862925
 2/4/10,1.130391383
 3/4/10,1.106915426
 4/4/10,1.121628113
 5/4/10,1.112999255
 6/4/10,1.113162313
 7/4/10,1.140031642
 8/4/10,1.137693742
 9/4/10,1.147525704
 10/4/10,1.155143161
 11/4/10,0.1150399052
 12/4/10,1.141682054
 13/4/10,0.1113435546
 14/4/10,1.137396271
 15/4/10,1.148457779
 16/4/10,1.139493991
 17/4/10,1.157439195
 18/4/10,1.151729958
 19/4/10,1.177162613
 20/4/10,1.173196335
 21/4/10,1.171422528
 22/4/10,0.1146899913
 23/4/10,0.1146899913
 24/4/10,1.153078493
 25/4/10,1.162930286
 26/4/10,1.141342717
 27/4/10,1.167709651
 28/4/10,0.1183557134
 29/4/10,1.201310634
 30/4/10,1.205977621
 1/5/10,1.204067198
 2/5/10,1.190526766
 3/5/10,1.204358058
 4/5/10,1.195768863
 5/5/10,0.01190799998
 6/5/10,1.186615575
 7/5/10,1.193036538
 8/5/10,1.19311366
 9/5/10,1.198523223
 10/5/10,1.22009757
 11/5/10,1.227336027
 12/5/10,1.227265516
 13/5/10,1.23246134
 14/5/10,1.243729976
 15/5/10,1.243729976
 16/5/10,1.23136841
 17/5/10,1.241799721
 18/5/10,1.269497561
 19/5/10,1.270182845
 20/5/10,0.1264237836
 21/5/10,1.270522183
 22/5/10,0.1268237166
 23/5/10,1.2807684
 24/5/10,1.265742818
 25/5/10,0.1278833738
 26/5/10,1.229427137
 27/5/10,1.233981746
 28/5/10,0.1187527819
 29/5/10,1.166134157
 30/5/10,1.202500518
 31/5/10,1.193904712
 1/6/10,0.1195037305
 2/6/10,1.205107244
 3/6/10,0.01164463913
 4/6/10,1.169855848
 5/6/10,1.185531459
 6/6/10,1.217237443
 7/6/10,1.177341095
 8/6/10,1.159874049
 9/6/10,1.15537673
 10/6/10,1.121835241
 11/6/10,1.085995514
 12/6/10,1.058017831
 13/6/10,1.069987176
 14/6/10,1.084256962
 15/6/10,1.097669591
 16/6/10,0.1140185886
 17/6/10,0.1142468699
 18/6/10,1.167795587
 19/6/10,1.169569394
 20/6/10,1.137997823
 21/6/10,1.162000414
 22/6/10,0.1164715111
 23/6/10,1.203923971
 24/6/10,1.208227382
 25/6/10,0.1217437961
 26/6/10,0.119886917
 27/6/10,1.202421192
 28/6/10,1.202421192
 29/6/10,1.160193554
 30/6/10,1.188133778
 1/7/10,1.187298656
 2/7/10,1.209895422
 3/7/10,1.20466875
 4/7/10,1.197386223
 5/7/10,1.248634939
 6/7/10,1.261809592
 7/7/10,0.1253925513
 8/7/10,1.273589437
 9/7/10,0.1293874745
 10/7/10,1.296924372
 11/7/10,1.315808261
 12/7/10,1.345282113
 13/7/10,0.1332341029
 14/7/10,1.37366083
 15/7/10,1.366539158
 16/7/10,1.324265247
 17/7/10,0.01331054193
