Date,Open,Close,High,Low
18/04/2019 12:06:00;30,63.3,63.3,64.3,61
18/04/2019 12:07:00;30,63.3,62.3,64.3,62
18/04/2019 12:08:00;30,62.3,6.3,63.3,59
18/04/2019 12:09:00;30,6.3,6.3,61.3,59
18/04/2019 12:10:00;30,6.3,59.3,6.3,57
18/04/2019 12:11:00;30,59.3,59.3,59.3,58
18/04/2019 12:12:00;30,59.3,61.3,63.3,59
18/04/2019 12:13:00;30,63.3,61.3,63.3,6
18/04/2019 12:14:00;30,61.3,61.3,61.3,6
18/04/2019 12:15:00;30,61.3,61.3,63.3,6
18/04/2019 12:16:00;30,61.3,65.3,65.3,61
18/04/2019 12:17:00;30,65.3,61.3,65.3,61
18/04/2019 12:18:00;30,62.3,66.3,67.3,61
18/04/2019 12:19:00;30,67.3,65.3,68.3,64
18/04/2019 12:20:00;30,65.3,64.3,65.3,62
18/04/2019 12:21:00;30,65.3,64.3,66.3,63
18/04/2019 12:22:00;30,64.3,6.3,64.3,6
18/04/2019 12:23:00;30,6.3,63.3,63.3,6
18/04/2019 12:24:00;30,63.3,63.3,64.3,62
18/04/2019 12:25:00;30,62.3,62.3,62.3,61
18/04/2019 12:26:00;30,63.3,62.3,63.3,6
18/04/2019 12:27:00;30,61.3,58.3,61.3,58
18/04/2019 12:28:00;30,59.3,61.3,61.3,59
18/04/2019 12:29:00;30,59.3,62.3,62.3,59
18/04/2019 12:30:00;30,62.3,63.3,67.3,61
18/04/2019 12:31:00;30,64.3,64.3,66.3,64
18/04/2019 12:32:00;30,64.3,62.3,65.3,61
18/04/2019 12:33:00;30,63.3,63.3,63.3,61
18/04/2019 12:34:00;30,63.3,63.3,64.3,62
18/04/2019 12:35:00;30,63.3,64.3,64.3,61
18/04/2019 12:36:00;30,63.3,64.3,65.3,62
18/04/2019 12:37:00;30,63.3,64.3,64.3,62
18/04/2019 12:38:00;30,64.3,63.3,65.3,63
18/04/2019 12:39:00;30,63.3,65.3,65.3,63
18/04/2019 12:40:00;30,65.3,64.3,67.3,64
18/04/2019 12:41:00;30,63.3,64.3,64.3,63
18/04/2019 12:42:00;30,63.3,65.3,65.3,63
18/04/2019 12:43:00;30,65.3,64.3,65.3,62
18/04/2019 12:44:00;30,64.3,64.3,65.3,62
18/04/2019 12:45:00;30,63.3,62.3,64.3,62
18/04/2019 12:46:00;30,61.3,62.3,62.3,6
18/04/2019 12:47:00;30,61.3,61.3,62.3,61
18/04/2019 12:48:00;30,6.3,62.3,63.3,58
18/04/2019 12:49:00;30,63.3,63.3,65.3,63
18/04/2019 12:50:00;30,63.3,61.3,63.3,61
18/04/2019 12:51:00;30,61.3,63.3,63.3,61
18/04/2019 12:52:00;30,63.3,63.3,63.3,61
18/04/2019 12:53:00;30,63.3,66.3,66.3,62
18/04/2019 12:54:00;30,66.3,65.3,66.3,64
18/04/2019 12:55:00;30,66.3,65.3,67.3,65
18/04/2019 12:56:00;30,66.3,66.3,69.3,66
18/04/2019 12:57:00;30,68.3,67.3,68.3,67
18/04/2019 12:58:00;30,67.3,67.3,67.3,64
18/04/2019 12:59:00;30,66.3,66.3,66.3,66
18/04/2019 13:00:00;30,65.3,63.3,66.3,63
18/04/2019 13:01:00;30,63.3,62.3,63.3,62
18/04/2019 13:02:00;30,61.3,6.3,62.3,6
18/04/2019 13:03:00;30,6.3,6.3,6.3,59
18/04/2019 13:04:00;30,6.3,6.3,6.3,59
18/04/2019 13:05:00;30,6.3,58.3,6.3,58
18/04/2019 13:06:00;30,58.3,56.3,58.3,56
18/04/2019 13:07:00;30,57.3,56.3,57.3,54
18/04/2019 13:08:00;30,55.3,57.3,57.3,55
18/04/2019 13:09:00;30,58.3,57.3,59.3,57
18/04/2019 13:10:00;30,57.3,56.3,58.3,56
18/04/2019 13:11:00;30,56.3,54.3,57.3,54
18/04/2019 13:12:00;30,55.3,52.3,55.3,48
18/04/2019 13:13:00;30,51.3,53.3,53.3,51
18/04/2019 13:14:00;30,53.3,52.3,53.3,5
18/04/2019 13:15:00;30,52.3,54.3,55.3,51
18/04/2019 13:16:00;30,53.3,55.3,55.3,53
18/04/2019 13:17:00;30,53.3,53.3,53.3,53
18/04/2019 13:18:00;30,52.3,55.3,55.3,52
18/04/2019 13:19:00;30,54.3,58.3,58.3,53
18/04/2019 13:20:00;30,56.3,56.3,57.3,54
18/04/2019 13:21:00;30,57.3,55.3,57.3,55
18/04/2019 13:22:00;30,55.3,55.3,55.3,53
18/04/2019 13:23:00;30,55.3,55.3,56.3,54
18/04/2019 13:24:00;30,55.3,56.3,56.3,55
18/04/2019 13:25:00;30,56.3,54.3,56.3,53
18/04/2019 13:26:00;30,54.3,52.3,54.3,52
18/04/2019 13:27:00;30,52.3,54.3,54.3,5
18/04/2019 13:28:00;30,54.3,55.3,55.3,54
18/04/2019 13:29:00;30,55.3,56.3,56.3,55
18/04/2019 13:30:00;30,56.3,57.3,58.3,55
18/04/2019 13:31:00;30,57.3,61.3,61.3,56
18/04/2019 13:32:00;30,61.3,58.3,61.3,58
18/04/2019 13:33:00;30,6.3,6.3,61.3,6
18/04/2019 13:34:00;30,61.3,61.3,61.3,61
18/04/2019 13:35:00;30,6.3,57.3,6.3,56
18/04/2019 13:36:00;30,57.3,57.3,57.3,56
18/04/2019 13:37:00;30,56.3,57.3,57.3,56
18/04/2019 13:38:00;30,58.3,58.3,58.3,57
18/04/2019 13:39:00;30,58.3,58.3,58.3,57
18/04/2019 13:40:00;30,58.3,58.3,58.3,58
18/04/2019 13:41:00;30,58.3,58.3,58.3,58
18/04/2019 13:42:00;30,58.3,57.3,58.3,56
18/04/2019 13:43:00;30,57.3,57.3,57.3,57
18/04/2019 13:44:00;30,57.3,55.3,58.3,55
18/04/2019 13:45:00;30,55.3,57.3,57.3,55
18/04/2019 13:46:00;30,56.3,56.3,56.3,56
18/04/2019 13:47:00;30,55.3,53.3,55.3,53
18/04/2019 13:48:00;30,53.3,54.3,55.3,52
18/04/2019 13:49:00;30,54.3,55.3,55.3,54
18/04/2019 13:50:00;30,54.3,53.3,55.3,53
18/04/2019 13:51:00;30,53.3,53.3,53.3,53
18/04/2019 13:52:00;30,53.3,53.3,53.3,53
18/04/2019 13:53:00;30,54.3,54.3,55.3,53
18/04/2019 13:54:00;30,54.3,53.3,54.3,53
18/04/2019 13:55:00;30,54.3,53.3,54.3,53
18/04/2019 13:56:00;30,54.3,54.3,54.3,54
18/04/2019 13:57:00;30,54.3,54.3,54.3,54
18/04/2019 13:58:00;30,53.3,52.3,53.3,51
18/04/2019 13:59:00;30,52.3,52.3,52.3,52
18/04/2019 14:00:00;30,52.3,49.3,53.3,48
18/04/2019 14:01:00;30,5.3,52.3,52.3,5
18/04/2019 14:02:00;30,52.3,52.3,52.3,52
18/04/2019 14:03:00;30,53.3,54.3,54.3,53
18/04/2019 14:04:00;30,53.3,52.3,54.3,52
18/04/2019 14:05:00;30,53.3,52.3,53.3,52
18/04/2019 14:06:00;30,51.3,5.3,51.3,5
18/04/2019 14:07:00;30,5.3,51.3,51.3,5
18/04/2019 14:08:00;30,51.3,51.3,52.3,51
18/04/2019 14:09:00;30,51.3,51.3,51.3,49
18/04/2019 14:10:00;30,51.3,52.3,52.3,51
18/04/2019 14:11:00;30,52.3,53.3,53.3,52
18/04/2019 14:12:00;30,53.3,54.3,55.3,53
18/04/2019 14:13:00;30,55.3,56.3,56.3,55
18/04/2019 14:14:00;30,56.3,56.3,57.3,56
18/04/2019 14:15:00;30,56.3,54.3,57.3,54
18/04/2019 14:16:00;30,54.3,55.3,55.3,54
18/04/2019 14:17:00;30,54.3,56.3,56.3,53
18/04/2019 14:18:00;30,56.3,56.3,56.3,56
18/04/2019 14:19:00;30,55.3,56.3,56.3,54
18/04/2019 14:20:00;30,56.3,55.3,56.3,55
18/04/2019 14:21:00;30,56.3,54.3,56.3,54
18/04/2019 14:22:00;30,53.3,53.3,53.3,53
18/04/2019 14:23:00;30,54.3,55.3,56.3,54
18/04/2019 14:24:00;30,56.3,56.3,56.3,56
18/04/2019 14:25:00;30,57.3,56.3,57.3,55
18/04/2019 14:26:00;30,56.3,56.3,56.3,56
18/04/2019 14:27:00;30,55.3,54.3,55.3,52
18/04/2019 14:28:00;30,54.3,53.3,55.3,53
18/04/2019 14:29:00;30,53.3,61.3,62.3,53
18/04/2019 14:30:00;30,6.3,62.3,62.3,6
18/04/2019 14:31:00;30,63.3,62.3,64.3,62
18/04/2019 14:32:00;30,63.3,65.3,65.3,62
18/04/2019 14:33:00;30,64.3,62.3,64.3,62
18/04/2019 14:34:00;30,62.3,65.3,65.3,62
18/04/2019 14:35:00;30,65.3,7.3,72.3,64
18/04/2019 14:36:00;30,7.3,69.3,7.3,69
18/04/2019 14:37:00;30,7.3,67.3,7.3,66
18/04/2019 14:38:00;30,66.3,71.3,71.3,65
18/04/2019 14:39:00;30,71.3,72.3,72.3,71
18/04/2019 14:40:00;30,72.3,71.3,72.3,71
18/04/2019 14:41:00;30,7.3,72.3,72.3,69
18/04/2019 14:42:00;30,71.3,7.3,71.3,7
18/04/2019 14:43:00;30,71.3,7.3,71.3,69
18/04/2019 14:44:00;30,69.3,69.3,7.3,68
18/04/2019 14:45:00;30,69.3,71.3,71.3,69
18/04/2019 14:46:00;30,72.3,75.3,75.3,72
18/04/2019 14:47:00;30,74.3,75.3,77.3,74
18/04/2019 14:48:00;30,75.3,77.3,77.3,75
18/04/2019 14:49:00;30,77.3,76.3,77.3,76
18/04/2019 14:50:00;30,75.3,71.3,75.3,7
18/04/2019 14:51:00;30,7.3,71.3,71.3,7
18/04/2019 14:52:00;30,72.3,76.3,76.3,72
18/04/2019 14:53:00;30,76.3,77.3,77.3,76
18/04/2019 14:54:00;30,76.3,72.3,76.3,72
18/04/2019 14:55:00;30,73.3,7.3,73.3,7
18/04/2019 14:56:00;30,7.3,69.3,73.3,69
18/04/2019 14:57:00;30,71.3,73.3,74.3,71
18/04/2019 14:58:00;30,72.3,7.3,72.3,7
18/04/2019 14:59:00;30,7.3,71.3,71.3,7
18/04/2019 15:00:00;30,7.3,73.3,73.3,69
18/04/2019 15:01:00;30,73.3,72.3,73.3,71
18/04/2019 15:02:00;30,72.3,7.3,73.3,7
18/04/2019 15:03:00;30,7.3,67.3,71.3,67
18/04/2019 15:04:00;30,66.3,68.3,7.3,66
18/04/2019 15:05:00;30,69.3,71.3,72.3,69
18/04/2019 15:06:00;30,71.3,7.3,72.3,7
18/04/2019 15:07:00;30,7.3,72.3,73.3,7
18/04/2019 15:08:00;30,72.3,73.3,73.3,71
18/04/2019 15:09:00;30,73.3,71.3,73.3,7
18/04/2019 15:10:00;30,71.3,72.3,72.3,71
18/04/2019 15:11:00;30,72.3,72.3,72.3,71
18/04/2019 15:12:00;30,72.3,72.3,73.3,71
18/04/2019 15:13:00;30,71.3,71.3,73.3,71
18/04/2019 15:14:00;30,71.3,7.3,72.3,69
18/04/2019 15:15:00;30,7.3,7.3,71.3,69
18/04/2019 15:16:00;30,69.3,69.3,7.3,67
18/04/2019 15:17:00;30,69.3,72.3,72.3,69
18/04/2019 15:18:00;30,7.3,71.3,73.3,7
18/04/2019 15:19:00;30,73.3,73.3,73.3,71
18/04/2019 15:20:00;30,72.3,74.3,74.3,72
18/04/2019 15:21:00;30,73.3,73.3,74.3,73
18/04/2019 15:22:00;30,74.3,75.3,76.3,73
18/04/2019 15:23:00;30,75.3,76.3,76.3,75
18/04/2019 15:24:00;30,76.3,77.3,77.3,73
18/04/2019 15:25:00;30,77.3,78.3,79.3,77
18/04/2019 15:26:00;30,78.3,77.3,79.3,76
18/04/2019 15:27:00;30,77.3,77.3,77.3,76
18/04/2019 15:28:00;30,76.3,76.3,77.3,74
18/04/2019 15:29:00;30,75.3,76.3,77.3,75
18/04/2019 15:30:00;30,76.3,74.3,76.3,74
18/04/2019 15:31:00;30,75.3,75.3,76.3,74
18/04/2019 15:32:00;30,75.3,75.3,76.3,75
18/04/2019 15:33:00;30,75.3,74.3,75.3,74
18/04/2019 15:34:00;30,74.3,74.3,75.3,74
18/04/2019 15:35:00;30,74.3,73.3,74.3,73
